Date,Outlet_ID,Campaign_ID,Product_Type,Targeting,Segment,Keyword,Ad_Sales,Ad_Spend,Unused_Meta_Data
2025-01-01,OUT_001,C_8495,BOS,Flexible,LM,dal makhani,1259,188.85,OLD_SYSTEM_REF
2025-01-01,OUT_003,C_9019,PSP,Flexible,MM,N/A,757,113.55,OLD_SYSTEM_REF
2025-01-01,OUT_011,C_8911,PSP,Flexible,LM,N/A,860,129.0,OLD_SYSTEM_REF
2025-01-01,OUT_016,C_2982,BOS,Flexible,MM,dosa,542,81.3,OLD_SYSTEM_REF
2025-01-01,OUT_018,C_3569,Visit Pack,Fixed,UM,N/A,1414,212.1,OLD_SYSTEM_REF
2025-01-01,OUT_022,C_3719,Visit Pack,Fixed,Repeat,N/A,1820,273.0,OLD_SYSTEM_REF
2025-01-01,OUT_025,C_7649,PSP,Flexible,Repeat,N/A,1127,169.04999999999998,OLD_SYSTEM_REF
2025-01-01,OUT_027,C_6907,PSP,Flexible,MM,N/A,525,78.75,OLD_SYSTEM_REF
2025-01-01,OUT_039,C_4095,Visit Pack,Fixed,Repeat,N/A,748,112.2,OLD_SYSTEM_REF
2025-01-01,OUT_040,C_1346,BOS,Flexible,Repeat,manchurian,1386,207.9,OLD_SYSTEM_REF
2025-01-01,OUT_041,C_8985,Visit Pack,Fixed,Lapsed,N/A,1727,259.05,OLD_SYSTEM_REF
2025-01-01,OUT_051,C_1575,PSP,Flexible,Lapsed,N/A,704,105.6,OLD_SYSTEM_REF
2025-01-01,OUT_072,C_7474,PSP,Flexible,LM,N/A,1821,273.15,OLD_SYSTEM_REF
2025-01-01,OUT_074,C_9353,BOS,Flexible,MM,dosa,1177,176.54999999999998,OLD_SYSTEM_REF
2025-01-01,OUT_080,C_4175,Visit Pack,Fixed,LM,N/A,796,119.39999999999999,OLD_SYSTEM_REF
2025-01-01,OUT_082,C_1999,Visit Pack,Fixed,MM,N/A,1915,287.25,OLD_SYSTEM_REF
2025-01-01,OUT_084,C_4698,BOS,Flexible,UM,dal makhani,1677,251.54999999999998,OLD_SYSTEM_REF
2025-01-01,OUT_090,C_8263,PSP,Flexible,MM,N/A,1626,243.89999999999998,OLD_SYSTEM_REF
2025-01-01,OUT_094,C_5225,PSP,Flexible,UM,N/A,1489,223.35,OLD_SYSTEM_REF
2025-01-01,OUT_097,C_6616,BOS,Flexible,MM,burger,1444,216.6,OLD_SYSTEM_REF
2025-01-02,OUT_002,C_4278,PSP,Flexible,Repeat,N/A,743,111.45,OLD_SYSTEM_REF
2025-01-02,OUT_006,C_4439,PSP,Flexible,Repeat,N/A,946,141.9,OLD_SYSTEM_REF
2025-01-02,OUT_011,C_4777,PSP,Flexible,MM,N/A,1662,249.29999999999998,OLD_SYSTEM_REF
2025-01-02,OUT_013,C_6815,BOS,Flexible,Repeat,dal makhani,1392,208.79999999999998,OLD_SYSTEM_REF
2025-01-02,OUT_014,C_4782,BOS,Flexible,Repeat,dal makhani,588,88.2,OLD_SYSTEM_REF
2025-01-02,OUT_015,C_9147,Visit Pack,Fixed,MM,N/A,1700,255.0,OLD_SYSTEM_REF
2025-01-02,OUT_016,C_4406,BOS,Flexible,UM,dosa,1435,215.25,OLD_SYSTEM_REF
2025-01-02,OUT_017,C_8725,Visit Pack,Fixed,UM,N/A,1634,245.1,OLD_SYSTEM_REF
2025-01-02,OUT_018,C_6114,BOS,Flexible,MM,pizza,735,110.25,OLD_SYSTEM_REF
2025-01-02,OUT_025,C_3028,Visit Pack,Fixed,Lapsed,N/A,1434,215.1,OLD_SYSTEM_REF
2025-01-02,OUT_032,C_8976,BOS,Flexible,Lapsed,manchurian,1250,187.5,OLD_SYSTEM_REF
2025-01-02,OUT_034,C_4590,PSP,Flexible,Repeat,N/A,884,132.6,OLD_SYSTEM_REF
2025-01-02,OUT_035,C_7089,BOS,Flexible,UM,manchurian,696,104.39999999999999,OLD_SYSTEM_REF
2025-01-02,OUT_048,C_9837,PSP,Flexible,MM,N/A,1828,274.2,OLD_SYSTEM_REF
2025-01-02,OUT_052,C_3383,Visit Pack,Fixed,Repeat,N/A,1828,274.2,OLD_SYSTEM_REF
2025-01-02,OUT_053,C_8023,BOS,Flexible,Lapsed,manchurian,1362,204.29999999999998,OLD_SYSTEM_REF
2025-01-02,OUT_070,C_1374,PSP,Flexible,MM,N/A,1322,198.29999999999998,OLD_SYSTEM_REF
2025-01-02,OUT_071,C_9352,BOS,Flexible,LM,manchurian,1779,266.84999999999997,OLD_SYSTEM_REF
2025-01-02,OUT_077,C_1489,BOS,Flexible,MM,dosa,1061,159.15,OLD_SYSTEM_REF
2025-01-02,OUT_085,C_8499,BOS,Flexible,MM,dosa,1770,265.5,OLD_SYSTEM_REF
2025-01-02,OUT_098,C_6487,BOS,Flexible,MM,dosa,1806,270.9,OLD_SYSTEM_REF
2025-01-03,OUT_002,C_6774,PSP,Flexible,Lapsed,N/A,512,76.8,OLD_SYSTEM_REF
2025-01-03,OUT_022,C_9413,Visit Pack,Fixed,Repeat,N/A,970,145.5,OLD_SYSTEM_REF
2025-01-03,OUT_024,C_2491,BOS,Flexible,UM,dosa,1469,220.35,OLD_SYSTEM_REF
2025-01-03,OUT_038,C_4350,BOS,Flexible,LM,burger,719,107.85,OLD_SYSTEM_REF
2025-01-03,OUT_043,C_7413,BOS,Flexible,UM,manchurian,1021,153.15,OLD_SYSTEM_REF
2025-01-03,OUT_046,C_5953,Visit Pack,Fixed,Lapsed,N/A,1100,165.0,OLD_SYSTEM_REF
2025-01-03,OUT_050,C_4405,PSP,Flexible,MM,N/A,1248,187.2,OLD_SYSTEM_REF
